discipline,athlete,country,record,date,event,sex,wikipedia,profile,video_name,video_link,latitude,longtidute
CWTB,Molchanov Alexey,RU,110,2019-08-05,AIDA Caribbean Cup 2019,Men,https://en.wikipedia.org/wiki/Alexey_Molchanov,https://athletes.aidainternational.org/Profile-2e49e1ad-580c-4b06-a13e-0e36682f2a1f,not_found,not_found,61.52401,105.318756
CWTB,Molchanov Alexey,RU,108,2019-05-21,Russian Open depth Championship 2019,Men,https://en.wikipedia.org/wiki/Alexey_Molchanov,https://athletes.aidainternational.org/Profile-2e49e1ad-580c-4b06-a13e-0e36682f2a1f,not_found,not_found,61.52401,105.318756
DYN,Molchanova Natalia,RU,234,2013-06-21,Individual AIDA pool World Championships,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,Natalia Molchanova world record dynamic freedive,https://www.youtube.com/watch?v=yGMVFn-zrWQ,61.52401,105.318756
DYN,Molchanova Natalia,RU,225,2010-04-24,Freediving Moscow Cup 2010,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,not_found,not_found,61.52401,105.318756
DYN,Molchanova Natalia,RU,214,2008-10-04,Europe Evolution Cup,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,not_found,not_found,61.52401,105.318756
DYN,Molchanova Natalia,RU,214,2008-04-26,AIDA Moscow Cup 2008,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,not_found,not_found,61.52401,105.318756
DYN,Molchanova Natalia,RU,205,2007-07-04,AIDA Pool World Championships with Finals,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,not_found,not_found,61.52401,105.318756
DYN,Molchanova Natalia,RU,200,2006-04-22,Russian Freediving Championship,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,not_found,not_found,61.52401,105.318756
DYN,Molchanova Natalia,RU,178,2005-08-27,1st AIDA Individual Pool World Freediving Championship,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,not_found,not_found,61.52401,105.318756
DYN,Molchanova Natalia,RU,172,2005-04-23,Russian Freediving Championship,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,not_found,not_found,61.52401,105.318756
DYN,Molchanova Natalia,RU,155,2004-04-24,Moscow Freediver Cup 2004,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,not_found,not_found,61.52401,105.318756
DYN,Molchanova Natalia,RU,150,2003-05-29,Sony Freediver Open Classic 2003,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,not_found,not_found,61.52401,105.318756
DNF,Molchanova Natalia,RU,182,2013-06-21,Individual AIDA pool World Championships,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,Natalia Molchanova freediving world record DNF,https://www.youtube.com/watch?v=B2L0dgd8K0c,61.52401,105.318756
DNF,Molchanova Natalia,RU,160,2009-08-21,5th AIDA Individual Pool World Championship 2009,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,Natalia Molchanova's World Record DNF 160m,https://www.youtube.com/watch?v=jq3G4PaLNB4,61.52401,105.318756
DNF,Molchanova Natalia,RU,150,2008-04-26,AIDA Moscow Cup 2008,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,not_found,not_found,61.52401,105.318756
DNF,Molchanova Natalia,RU,149,2007-07-04,AIDA Pool World Championships with Finals,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,AIDA World Championships 2007 - DNF Finals (Weman),https://www.youtube.com/watch?v=G70pTI5zvUU,61.52401,105.318756
DNF,Molchanova Natalia,RU,131,2005-12-20,WR Attempt - MOLCHANOVA Natalia(DNF),Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,APNEA natalia molchanova 131m in japan,https://www.youtube.com/watch?v=uJit8fJOjcY,61.52401,105.318756
DNF,Molchanova Natalia,RU,124,2005-08-27,1st AIDA Individual Pool World Freediving Championship,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,not_found,not_found,61.52401,105.318756
DNF,Molchanova Natalia,RU,108,2005-04-23,Russian Freediving Championship,Women,https://en.wikipedia.org/wiki/Natalia_Molchanova,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2,not_found,not_found,61.52401,105.318756
